"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
29	0.888508891928865	3	3	"Sleep"	"Yes"	0.1
30	0.917124542124542	3	3	"Sleep"	"Yes"	0.1
1	0.951388888888889	4	4	"Sleep"	"Yes"	0.1
2	0.951473922902494	4	4	"Sleep"	"Yes"	0.1
3	0.913703176861072	4	4	"Sleep"	"Yes"	0.1
4	0.885989010989011	4	4	"Sleep"	"Yes"	0.1
5	0.881862745098039	4	4	"Sleep"	"Yes"	0.1
6	0.883636363636364	4	4	"Sleep"	"Yes"	0.1
7	0.970335144927536	3	4	"Sleep"	"Yes"	0.1
8	0.966635338345865	4	4	"Sleep"	"Yes"	0.1
9	0.91488857278331	4	4	"Sleep"	"Yes"	0.1
10	0.937734962406015	4	4	"Sleep"	"Yes"	0.1
11	0.979903147699758	4	4	"Sleep"	"Yes"	0.1
12	0.879889553612517	4	4	"Sleep"	"Yes"	0.1
13	0.862968231389284	4	4	"Sleep"	"Yes"	0.1
14	0.9477969348659	4	4	"Sleep"	"Yes"	0.1
15	0.92751955821445	4	4	"Sleep"	"Yes"	0.1
16	0.951127819548872	4	4	"Sleep"	"Yes"	0.1
17	0.947086247086247	4	4	"Sleep"	"Yes"	0.1
18	0.911412793373217	4	4	"Sleep"	"Yes"	0.1
19	0.890086206896552	4	4	"Sleep"	"Yes"	0.1
20	0.929981203007519	4	4	"Sleep"	"Yes"	0.1
21	0.871201814058957	4	4	"Sleep"	"Yes"	0.1
22	0.843822843822844	4	4	"Sleep"	"Yes"	0.1
23	0.928209848136217	4	4	"Sleep"	"Yes"	0.1
24	0.886713286713287	4	4	"Sleep"	"Yes"	0.1
25	0.931247036510194	3	4	"Sleep"	"Yes"	0.1
26	0.887820512820513	4	4	"Sleep"	"Yes"	0.1
27	0.91235632183908	4	4	"Sleep"	"Yes"	0.1
28	0.901461693548387	4	4	"Sleep"	"Yes"	0.1
29	0.943338074917022	4	4	"Sleep"	"Yes"	0.1
30	0.924298205246203	4	4	"Sleep"	"Yes"	0.1
1	0.892156862745098	5	5	"Sleep"	"Yes"	0.1
2	0.973052536231884	5	5	"Sleep"	"Yes"	0.1
3	0.961501210653753	5	5	"Sleep"	"Yes"	0.1
4	0.873075012419275	4	5	"Sleep"	"Yes"	0.1
5	0.871136363636364	5	5	"Sleep"	"Yes"	0.1
6	0.928571428571429	5	5	"Sleep"	"Yes"	0.1
7	0.902538314176245	4	5	"Sleep"	"Yes"	0.1
8	0.923371647509579	5	5	"Sleep"	"Yes"	0.1
9	0.851114272166904	5	5	"Sleep"	"Yes"	0.1
10	0.867599067599068	5	5	"Sleep"	"Yes"	0.1
11	0.911363636363636	5	5	"Sleep"	"Yes"	0.1
12	0.920347744360902	5	5	"Sleep"	"Yes"	0.1
13	0.913703176861072	5	5	"Sleep"	"Yes"	0.1
14	0.931445603576751	5	5	"Sleep"	"Yes"	0.1
15	0.874090909090909	5	5	"Sleep"	"Yes"	0.1
16	0.853198343304188	5	5	"Sleep"	"Yes"	0.1
17	0.942669172932331	5	5	"Sleep"	"Yes"	0.1
18	0.91139846743295	5	5	"Sleep"	"Yes"	0.1
19	0.912103083294984	5	5	"Sleep"	"Yes"	0.1
20	0.926663306451613	4	5	"Sleep"	"Yes"	0.1
21	0.934192360791532	5	5	"Sleep"	"Yes"	0.1
22	0.932971014492754	5	5	"Sleep"	"Yes"	0.1
23	0.955996352029184	4	5	"Sleep"	"Yes"	0.1
24	0.859637188208617	4	5	"Sleep"	"Yes"	0.1
25	0.921911421911422	5	5	"Sleep"	"Yes"	0.1
26	0.934240362811791	5	5	"Sleep"	"Yes"	0.1
27	0.916073968705548	5	5	"Sleep"	"Yes"	0.1
28	0.916705016106765	5	5	"Sleep"	"Yes"	0.1
29	0.846249379036264	5	5	"Sleep"	"Yes"	0.1
30	0.827586206896552	4	5	"Sleep"	"Yes"	0.1
1	0.847039473684211	6	6	"Sleep"	"Yes"	0.1
2	0.913063909774436	6	6	"Sleep"	"Yes"	0.1
3	0.901137980085349	6	6	"Sleep"	"Yes"	0.1
4	0.927045454545455	6	6	"Sleep"	"Yes"	0.1
5	0.950924608819346	5	6	"Sleep"	"Yes"	0.1
6	0.835996240601504	6	6	"Sleep"	"Yes"	0.1
7	0.915046296296296	6	6	"Sleep"	"Yes"	0.1
8	0.939351851851852	6	6	"Sleep"	"Yes"	0.1
9	0.880092592592593	6	6	"Sleep"	"Yes"	0.1
10	0.907064959696539	6	6	"Sleep"	"Yes"	0.1
11	0.894657258064516	6	6	"Sleep"	"Yes"	0.1
12	0.877954545454545	6	6	"Sleep"	"Yes"	0.1
13	0.851063829787234	6	6	"Sleep"	"Yes"	0.1
14	0.849624060150376	6	6	"Sleep"	"Yes"	0.1
15	0.892128971076339	6	6	"Sleep"	"Yes"	0.1
16	0.930316091954023	6	6	"Sleep"	"Yes"	0.1
17	0.870909090909091	6	6	"Sleep"	"Yes"	0.1
18	0.906116642958748	6	6	"Sleep"	"Yes"	0.1
19	0.944204980842912	5	6	"Sleep"	"Yes"	0.1
20	0.912045454545454	6	6	"Sleep"	"Yes"	0.1
21	0.87962962962963	6	6	"Sleep"	"Yes"	0.1
