"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
6	0.923280423280423	4	4	"Sleep"	"Yes"	0
7	0.951347797501644	4	4	"Sleep"	"Yes"	0
8	0.928571428571429	4	4	"Sleep"	"Yes"	0
9	0.852960526315789	4	4	"Sleep"	"Yes"	0
10	0.940342781806196	4	4	"Sleep"	"Yes"	0
11	0.934883720930233	4	4	"Sleep"	"Yes"	0
12	0.907000686341798	4	4	"Sleep"	"Yes"	0
13	0.946801346801347	4	4	"Sleep"	"Yes"	0
14	0.942320369149637	4	4	"Sleep"	"Yes"	0
15	0.956822676334872	4	4	"Sleep"	"Yes"	0
16	0.947494852436513	4	4	"Sleep"	"Yes"	0
17	0.864784053156146	4	4	"Sleep"	"Yes"	0
18	0.885382059800664	4	4	"Sleep"	"Yes"	0
19	0.863636363636364	4	4	"Sleep"	"Yes"	0
20	0.886184210526316	4	4	"Sleep"	"Yes"	0
21	0.94825313117996	4	4	"Sleep"	"Yes"	0
22	0.926578073089701	4	4	"Sleep"	"Yes"	0
23	0.897569444444444	4	4	"Sleep"	"Yes"	0
24	0.84692513368984	4	4	"Sleep"	"Yes"	0
25	0.971875	4	4	"Sleep"	"Yes"	0
26	0.916611733684904	4	4	"Sleep"	"Yes"	0
27	0.917930125247198	4	4	"Sleep"	"Yes"	0
28	0.888227513227513	4	4	"Sleep"	"Yes"	0
29	0.941137566137566	4	4	"Sleep"	"Yes"	0
30	0.954695767195767	4	4	"Sleep"	"Yes"	0
1	0.920118343195266	4	5	"Sleep"	"Yes"	0
2	0.924342105263158	4	5	"Sleep"	"Yes"	0
3	0.929136453526697	5	5	"Sleep"	"Yes"	0
4	0.926644736842105	4	5	"Sleep"	"Yes"	0
5	0.901450230718523	5	5	"Sleep"	"Yes"	0
6	0.927631578947368	5	5	"Sleep"	"Yes"	0
7	0.884027777777778	5	5	"Sleep"	"Yes"	0
8	0.945394736842105	4	5	"Sleep"	"Yes"	0
9	0.963815789473684	4	5	"Sleep"	"Yes"	0
10	0.832880434782609	5	5	"Sleep"	"Yes"	0
11	0.914021164021164	4	5	"Sleep"	"Yes"	0
12	0.925913621262458	4	5	"Sleep"	"Yes"	0
13	0.88034188034188	4	5	"Sleep"	"Yes"	0
14	0.937171052631579	5	5	"Sleep"	"Yes"	0
15	0.992089650626236	5	5	"Sleep"	"Yes"	0
16	0.943121693121693	5	5	"Sleep"	"Yes"	0
17	0.963744232036915	5	5	"Sleep"	"Yes"	0
18	0.913315754779169	5	5	"Sleep"	"Yes"	0
19	0.902695595003287	5	5	"Sleep"	"Yes"	0
20	0.976315789473684	5	5	"Sleep"	"Yes"	0
21	0.896506262359921	4	5	"Sleep"	"Yes"	0
22	0.914496833216045	5	5	"Sleep"	"Yes"	0
23	0.891447368421053	4	5	"Sleep"	"Yes"	0
24	0.939842209072978	5	5	"Sleep"	"Yes"	0
25	0.95249169435216	4	5	"Sleep"	"Yes"	0
26	0.894949494949495	4	5	"Sleep"	"Yes"	0
27	0.877142857142857	5	5	"Sleep"	"Yes"	0
28	0.874424720578567	5	5	"Sleep"	"Yes"	0
29	0.896164021164021	4	5	"Sleep"	"Yes"	0
30	0.929605263157895	5	5	"Sleep"	"Yes"	0
1	0.936883629191322	5	6	"Sleep"	"Yes"	0
2	0.964451827242525	6	6	"Sleep"	"Yes"	0
3	0.88936877076412	6	6	"Sleep"	"Yes"	0
4	0.937171052631579	6	6	"Sleep"	"Yes"	0
5	0.901785714285714	6	6	"Sleep"	"Yes"	0
6	0.932938856015779	6	6	"Sleep"	"Yes"	0
7	0.9003367003367	6	6	"Sleep"	"Yes"	0
8	0.891776315789474	6	6	"Sleep"	"Yes"	0
9	0.913315754779169	6	6	"Sleep"	"Yes"	0
10	0.966447368421053	6	6	"Sleep"	"Yes"	0
11	0.940828402366864	6	6	"Sleep"	"Yes"	0
12	0.936058009228741	6	6	"Sleep"	"Yes"	0
13	0.883881578947368	6	6	"Sleep"	"Yes"	0
14	0.945723684210526	6	6	"Sleep"	"Yes"	0
15	0.915151515151515	6	6	"Sleep"	"Yes"	0
16	0.960777851021754	6	6	"Sleep"	"Yes"	0
17	0.944078947368421	6	6	"Sleep"	"Yes"	0
18	0.937869822485207	6	6	"Sleep"	"Yes"	0
19	0.934539473684211	6	6	"Sleep"	"Yes"	0
20	0.952205882352941	6	6	"Sleep"	"Yes"	0
21	0.939867109634551	6	6	"Sleep"	"Yes"	0
22	0.881016042780749	6	6	"Sleep"	"Yes"	0
23	0.943452380952381	6	6	"Sleep"	"Yes"	0
24	0.945435827041867	6	6	"Sleep"	"Yes"	0
25	0.888586956521739	6	6	"Sleep"	"Yes"	0
26	0.739644970414201	6	6	"Sleep"	"Yes"	0
27	0.947593935398813	6	6	"Sleep"	"Yes"	0
28	0.908223684210526	6	6	"Sleep"	"Yes"	0
29	0.893539881344759	6	6	"Sleep"	"Yes"	0
30	0.88989898989899	6	6	"Sleep"	"Yes"	0
1	0.907085561497326	7	7	"Sleep"	"Yes"	0
2	0.983552631578947	7	7	"Sleep"	"Yes"	0
3	0.954034391534392	7	7	"Sleep"	"Yes"	0
4	0.924063116370809	7	7	"Sleep"	"Yes"	0
5	0.833552631578947	7	7	"Sleep"	"Yes"	0
6	0.876315789473684	7	7	"Sleep"	"Yes"	0
7	0.910383597883598	7	7	"Sleep"	"Yes"	0
8	0.918783422459893	7	7	"Sleep"	"Yes"	0
9	0.853658536585366	7	7	"Sleep"	"Yes"	0
10	0.945394736842105	7	7	"Sleep"	"Yes"	0
11	0.853198653198653	7	7	"Sleep"	"Yes"	0
12	0.929605263157895	7	7	"Sleep"	"Yes"	0
13	0.905647840531561	7	7	"Sleep"	"Yes"	0
14	0.898395721925134	7	7	"Sleep"	"Yes"	0
15	0.985197368421053	7	7	"Sleep"	"Yes"	0
16	0.925252525252525	7	7	"Sleep"	"Yes"	0
17	0.888815789473684	7	7	"Sleep"	"Yes"	0
18	0.889700996677741	7	7	"Sleep"	"Yes"	0
19	0.969919786096257	7	7	"Sleep"	"Yes"	0
20	0.893539881344759	7	7	"Sleep"	"Yes"	0
21	0.980592105263158	7	7	"Sleep"	"Yes"	0
22	0.905753968253968	7	7	"Sleep"	"Yes"	0
23	0.961640211640212	7	7	"Sleep"	"Yes"	0
24	0.931893687707641	7	7	"Sleep"	"Yes"	0
25	0.864304812834225	7	7	"Sleep"	"Yes"	0
26	0.959868421052632	7	7	"Sleep"	"Yes"	0
27	0.975601604278075	7	7	"Sleep"	"Yes"	0
28	0.965721819380356	7	7	"Sleep"	"Yes"	0
29	0.896449704142012	7	7	"Sleep"	"Yes"	0
30	0.860526315789474	7	7	"Sleep"	"Yes"	0
